Room_ID,DayType,Occupancy,Ventilation_Status,CO2,PM2.5,Humidity,Temperature,AQ_Label
1,0,1,1,490.458,20.0,50.0,24.0,0
1,0,1,1,490.505,20.0,50.0,24.0,0
1,0,1,1,489.08,20.0,50.0,24.0,0
1,0,1,1,488.189,20.0,50.0,24.0,0
1,0,1,1,485.401,20.0,50.0,24.0,0
1,0,1,1,484.354,20.0,50.0,24.0,0
1,0,1,1,484.315,20.0,50.0,24.0,0
1,0,1,1,486.062,20.0,50.0,24.0,0
1,0,1,1,486.384,20.0,50.0,24.0,0
1,0,1,1,488.766,20.0,50.0,24.0,0
1,0,1,1,489.28,20.0,50.0,24.0,0
1,0,1,1,490.248,20.0,50.0,24.0,0
1,0,1,1,493.033,20.0,50.0,24.0,0
1,0,1,1,491.86,20.0,50.0,24.0,0
1,0,1,1,497.879,20.0,50.0,24.0,0
1,0,1,1,498.922,20.0,50.0,24.0,0
1,0,1,1,496.826,20.0,50.0,24.0,0
1,0,1,1,493.815,20.0,50.0,24.0,0
1,0,1,1,493.682,20.0,50.0,24.0,0
1,0,1,1,494.644,20.0,50.0,24.0,0
1,0,1,1,494.926,20.0,50.0,24.0,0
1,0,1,1,496.999,20.0,50.0,24.0,0
1,0,1,1,497.988,20.0,50.0,24.0,0
1,0,1,1,499.614,20.0,50.0,24.0,0
1,0,1,1,508.23,20.0,50.0,24.0,0
1,0,1,1,510.182,20.0,50.0,24.0,0
1,0,1,1,523.249,20.0,50.0,24.0,0
1,0,1,1,524.302,20.0,50.0,24.0,0
1,0,1,1,530.527,20.0,50.0,24.0,0
1,0,1,1,536.689,20.0,50.0,24.0,0
1,0,1,1,534.482,20.0,50.0,24.0,0
1,0,1,1,529.809,20.0,50.0,24.0,0
1,0,1,1,529.363,20.0,50.0,24.0,0
1,0,1,1,535.622,20.0,50.0,24.0,0
1,0,1,1,538.413,20.0,50.0,24.0,0
1,0,1,1,539.172,20.0,50.0,24.0,0
1,0,1,1,537.4,20.0,50.0,24.0,0
1,0,1,1,536.825,20.0,50.0,24.0,0
1,0,1,1,532.094,20.0,50.0,24.0,0
1,0,1,1,528.657,20.0,50.0,24.0,0
1,0,1,1,523.819,20.0,50.0,24.0,0
1,0,1,1,523.305,20.0,50.0,24.0,0
1,0,1,1,527.023,20.0,50.0,24.0,0
1,0,1,1,526.27,20.0,50.0,24.0,0
1,0,1,1,512.789,20.0,50.0,24.0,0
1,0,1,1,500.674,20.0,50.0,24.0,0
1,0,1,1,495.141,20.0,50.0,24.0,0
1,0,1,1,497.396,20.0,50.0,24.0,0
1,0,1,1,497.076,20.0,50.0,24.0,0
1,0,1,1,497.353,20.0,50.0,24.0,0
1,0,1,1,497.235,20.0,50.0,24.0,0
1,0,1,1,501.81,20.0,50.0,24.0,0
1,0,1,1,509.626,20.0,50.0,24.0,0
1,0,1,1,511.992,20.0,50.0,24.0,0
1,0,1,1,514.48,20.0,50.0,24.0,0
1,0,1,1,515.375,20.0,50.0,24.0,0
1,0,1,1,518.321,20.0,50.0,24.0,0
1,0,1,1,521.247,20.0,50.0,24.0,0
1,0,1,1,514.316,20.0,50.0,24.0,0
1,0,1,1,506.746,20.0,50.0,24.0,0
1,0,1,1,500.315,20.0,50.0,24.0,0
1,0,1,1,498.414,20.0,50.0,24.0,0
1,0,1,1,499.527,20.0,50.0,24.0,0
1,0,1,1,500.821,20.0,50.0,24.0,0
1,0,1,1,500.269,20.0,50.0,24.0,0
1,0,1,1,501.871,20.0,50.0,24.0,0
1,0,1,1,507.0,20.0,50.0,24.0,0
1,0,1,1,514.662,20.0,50.0,24.0,0
1,0,1,1,514.777,20.0,50.0,24.0,0
1,0,1,1,512.404,20.0,50.0,24.0,0
1,0,1,1,511.983,20.0,50.0,24.0,0
1,0,1,1,512.195,20.0,50.0,24.0,0
1,0,1,1,509.873,20.0,50.0,24.0,0
1,0,1,1,508.059,20.0,50.0,24.0,0
1,0,1,1,508.992,20.0,50.0,24.0,0
1,0,1,1,511.694,20.0,50.0,24.0,0
1,0,1,1,512.98,20.0,50.0,24.0,0
1,0,1,1,511.222,20.0,50.0,24.0,0
1,0,1,1,511.706,20.0,50.0,24.0,0
1,0,1,1,508.498,20.0,50.0,24.0,0
1,0,1,1,505.882,20.0,50.0,24.0,0
1,0,1,1,513.683,20.0,50.0,24.0,0
1,0,1,1,515.643,20.0,50.0,24.0,0
1,0,1,1,511.725,20.0,50.0,24.0,0
1,0,1,1,508.827,20.0,50.0,24.0,0
1,0,1,1,509.713,20.0,50.0,24.0,0
1,0,1,1,513.321,20.0,50.0,24.0,0
1,0,1,1,515.434,20.0,50.0,24.0,0
1,0,1,1,515.257,20.0,50.0,24.0,0
1,0,1,1,520.027,20.0,50.0,24.0,0
1,0,1,1,521.991,20.0,50.0,24.0,0
1,0,1,1,521.28,20.0,50.0,24.0,0
1,0,1,1,517.893,20.0,50.0,24.0,0
1,0,1,1,513.353,20.0,50.0,24.0,0
1,0,1,1,508.386,20.0,50.0,24.0,0
1,0,1,1,507.022,20.0,50.0,24.0,0
1,0,1,1,500.035,20.0,50.0,24.0,0
1,0,1,1,502.243,20.0,50.0,24.0,0
1,0,1,1,503.257,20.0,50.0,24.0,0
1,0,1,1,504.906,20.0,50.0,24.0,0
1,0,1,1,505.678,20.0,50.0,24.0,0
1,0,1,1,502.717,20.0,50.0,24.0,0
1,0,1,1,502.547,20.0,50.0,24.0,0
1,0,1,1,506.178,20.0,50.0,24.0,0
1,0,1,1,507.179,20.0,50.0,24.0,0
1,0,1,1,504.904,20.0,50.0,24.0,0
1,0,1,1,505.687,20.0,50.0,24.0,0
1,0,1,1,506.593,20.0,50.0,24.0,0
1,0,1,1,507.333,20.0,50.0,24.0,0
1,0,1,1,507.864,20.0,50.0,24.0,0
1,0,1,1,509.999,20.0,50.0,24.0,0
1,0,1,1,514.531,20.0,50.0,24.0,0
1,0,1,1,516.341,20.0,50.0,24.0,0
1,0,1,1,516.192,20.0,50.0,24.0,0
1,0,1,1,516.138,20.0,50.0,24.0,0
1,0,1,1,512.219,20.0,50.0,24.0,0
1,0,1,1,514.111,20.0,50.0,24.0,0
1,0,1,1,515.194,20.0,50.0,24.0,0
1,0,1,1,514.184,20.0,50.0,24.0,0
1,0,1,1,513.013,20.0,50.0,24.0,0
1,0,1,1,511.932,20.0,50.0,24.0,0
1,0,1,1,509.354,20.0,50.0,24.0,0
1,0,1,1,507.363,20.0,50.0,24.0,0
1,0,1,1,507.902,20.0,50.0,24.0,0
1,0,1,1,508.353,20.0,50.0,24.0,0
1,0,1,1,508.518,20.0,50.0,24.0,0
1,0,1,1,507.501,20.0,50.0,24.0,0
1,0,1,1,505.132,20.0,50.0,24.0,0
1,0,1,1,511.158,20.0,50.0,24.0,0
1,0,1,1,512.362,20.0,50.0,24.0,0
1,0,1,1,511.426,20.0,50.0,24.0,0
1,0,1,1,512.272,20.0,50.0,24.0,0
1,0,1,1,511.106,20.0,50.0,24.0,0
1,0,1,1,506.459,20.0,50.0,24.0,0
1,0,1,1,507.472,20.0,50.0,24.0,0
1,0,1,1,509.612,20.0,50.0,24.0,0
1,0,1,1,513.536,20.0,50.0,24.0,0
1,0,1,1,513.677,20.0,50.0,24.0,0
1,0,1,1,512.723,20.0,50.0,24.0,0
1,0,1,1,511.891,20.0,50.0,24.0,0
1,0,1,1,511.91,20.0,50.0,24.0,0
1,0,1,1,513.015,20.0,50.0,24.0,0
1,0,1,1,510.458,20.0,50.0,24.0,0
1,0,1,1,510.073,20.0,50.0,24.0,0
1,0,1,1,512.751,20.0,50.0,24.0,0
1,0,1,1,512.694,20.0,50.0,24.0,0
1,0,1,1,510.299,20.0,50.0,24.0,0
1,0,1,1,506.284,20.0,50.0,24.0,0
1,0,1,1,504.291,20.0,50.0,24.0,0
1,0,1,1,504.254,20.0,50.0,24.0,0
1,0,1,1,502.617,20.0,50.0,24.0,0
1,0,1,1,501.997,20.0,50.0,24.0,0
1,0,1,1,496.686,20.0,50.0,24.0,0
1,0,1,1,494.439,20.0,50.0,24.0,0
1,0,1,1,493.72,20.0,50.0,24.0,0
1,0,1,1,493.075,20.0,50.0,24.0,0
1,0,1,1,494.716,20.0,50.0,24.0,0
1,0,1,1,495.755,20.0,50.0,24.0,0
1,0,1,1,494.64,20.0,50.0,24.0,0
1,0,1,1,495.231,20.0,50.0,24.0,0
1,0,1,1,493.501,20.0,50.0,24.0,0
1,0,1,1,490.63,20.0,50.0,24.0,0
1,0,1,1,487.683,20.0,50.0,24.0,0
1,0,1,1,484.889,20.0,50.0,24.0,0
1,0,1,1,485.873,20.0,50.0,24.0,0
1,0,1,1,484.353,20.0,50.0,24.0,0
1,0,1,1,487.736,20.0,50.0,24.0,0
1,0,1,1,487.053,20.0,50.0,24.0,0
1,0,1,1,484.8,20.0,50.0,24.0,0
1,0,1,1,485.437,20.0,50.0,24.0,0
1,0,1,1,484.624,20.0,50.0,24.0,0
1,0,1,1,480.293,20.0,50.0,24.0,0
1,0,1,1,482.739,20.0,50.0,24.0,0
